"id","lotshape","moderately_irregular","slightly_irregular","regular","irregular"
844,"Regular",0,0,1,0
845,"Slightly irregular",0,1,0,0
846,"Slightly irregular",0,1,0,0
847,"Regular",0,0,1,0
848,"Slightly irregular",0,1,0,0
849,"Moderately Irregular",1,0,0,0
850,"Regular",0,0,1,0
851,"Regular",0,0,1,0
852,"Regular",0,0,1,0
853,"Regular",0,0,1,0
854,"Slightly irregular",0,1,0,0
855,"Regular",0,0,1,0
856,"Slightly irregular",0,1,0,0
857,"Slightly irregular",0,1,0,0
858,"Regular",0,0,1,0
859,"Regular",0,0,1,0
860,"Slightly irregular",0,1,0,0
861,"Regular",0,0,1,0
862,"Regular",0,0,1,0
863,"Regular",0,0,1,0
864,"Regular",0,0,1,0
865,"Regular",0,0,1,0
866,"Slightly irregular",0,1,0,0
867,"Slightly irregular",0,1,0,0
868,"Regular",0,0,1,0
869,"Moderately Irregular",1,0,0,0
870,"Regular",0,0,1,0
871,"Regular",0,0,1,0
872,"Regular",0,0,1,0
873,"Regular",0,0,1,0
874,"Regular",0,0,1,0
875,"Regular",0,0,1,0
876,"Regular",0,0,1,0
877,"Regular",0,0,1,0
878,"Regular",0,0,1,0
879,"Slightly irregular",0,1,0,0
880,"Slightly irregular",0,1,0,0
881,"Regular",0,0,1,0
882,"Slightly irregular",0,1,0,0
883,"Slightly irregular",0,1,0,0
884,"Regular",0,0,1,0
885,"Regular",0,0,1,0
886,"Slightly irregular",0,1,0,0
887,"Regular",0,0,1,0
888,"Slightly irregular",0,1,0,0
889,"Slightly irregular",0,1,0,0
890,"Regular",0,0,1,0
891,"Regular",0,0,1,0
892,"Regular",0,0,1,0
893,"Regular",0,0,1,0
894,"Regular",0,0,1,0
895,"Regular",0,0,1,0
896,"Regular",0,0,1,0
897,"Regular",0,0,1,0
898,"Regular",0,0,1,0
899,"Slightly irregular",0,1,0,0
900,"Regular",0,0,1,0
901,"Slightly irregular",0,1,0,0
902,"Slightly irregular",0,1,0,0
903,"Regular",0,0,1,0
904,"Slightly irregular",0,1,0,0
905,"Slightly irregular",0,1,0,0
906,"Regular",0,0,1,0
907,"Slightly irregular",0,1,0,0
908,"Slightly irregular",0,1,0,0
909,"Slightly irregular",0,1,0,0
910,"Moderately Irregular",1,0,0,0
911,"Regular",0,0,1,0
912,"Slightly irregular",0,1,0,0
913,"Regular",0,0,1,0
914,"Regular",0,0,1,0
915,"Regular",0,0,1,0
916,"Regular",0,0,1,0
917,"Regular",0,0,1,0
918,"Regular",0,0,1,0
919,"Slightly irregular",0,1,0,0
920,"Slightly irregular",0,1,0,0
921,"Slightly irregular",0,1,0,0
922,"Regular",0,0,1,0
923,"Regular",0,0,1,0
924,"Regular",0,0,1,0
925,"Regular",0,0,1,0
926,"Slightly irregular",0,1,0,0
927,"Regular",0,0,1,0
928,"Regular",0,0,1,0
929,"Regular",0,0,1,0
930,"Slightly irregular",0,1,0,0
931,"Slightly irregular",0,1,0,0
932,"Regular",0,0,1,0
933,"Slightly irregular",0,1,0,0
934,"Regular",0,0,1,0
935,"Moderately Irregular",1,0,0,0
936,"Slightly irregular",0,1,0,0
937,"Regular",0,0,1,0
938,"Regular",0,0,1,0
939,"Regular",0,0,1,0
940,"Regular",0,0,1,0
941,"Slightly irregular",0,1,0,0
942,"Slightly irregular",0,1,0,0
943,"Slightly irregular",0,1,0,0
944,"Regular",0,0,1,0
945,"Slightly irregular",0,1,0,0
946,"Regular",0,0,1,0
947,"Regular",0,0,1,0
948,"Regular",0,0,1,0
949,"Slightly irregular",0,1,0,0
950,"Regular",0,0,1,0
951,"Regular",0,0,1,0
952,"Regular",0,0,1,0
953,"Regular",0,0,1,0
954,"Slightly irregular",0,1,0,0
955,"Slightly irregular",0,1,0,0
956,"Slightly irregular",0,1,0,0
957,"Regular",0,0,1,0
958,"Regular",0,0,1,0
959,"Regular",0,0,1,0
960,"Regular",0,0,1,0
961,"Slightly irregular",0,1,0,0
962,"Slightly irregular",0,1,0,0
963,"Regular",0,0,1,0
964,"Slightly irregular",0,1,0,0
965,"Regular",0,0,1,0
966,"Regular",0,0,1,0
967,"Slightly irregular",0,1,0,0
968,"Slightly irregular",0,1,0,0
969,"Regular",0,0,1,0
970,"Regular",0,0,1,0
971,"Regular",0,0,1,0
972,"Regular",0,0,1,0
973,"Regular",0,0,1,0
974,"Regular",0,0,1,0
975,"Slightly irregular",0,1,0,0
976,"Regular",0,0,1,0
977,"Slightly irregular",0,1,0,0
978,"Slightly irregular",0,1,0,0
979,"Regular",0,0,1,0
980,"Regular",0,0,1,0
981,"Slightly irregular",0,1,0,0
982,"Slightly irregular",0,1,0,0
983,"Regular",0,0,1,0
984,"Regular",0,0,1,0
985,"Regular",0,0,1,0
986,"Regular",0,0,1,0
987,"Regular",0,0,1,0
988,"Slightly irregular",0,1,0,0
989,"Slightly irregular",0,1,0,0
990,"Regular",0,0,1,0
991,"Regular",0,0,1,0
992,"Regular",0,0,1,0
993,"Regular",0,0,1,0
994,"Regular",0,0,1,0
995,"Regular",0,0,1,0
996,"Slightly irregular",0,1,0,0
997,"Slightly irregular",0,1,0,0
998,"Slightly irregular",0,1,0,0
999,"Regular",0,0,1,0
1000,"Regular",0,0,1,0
1001,"Regular",0,0,1,0
1002,"Regular",0,0,1,0
1003,"Slightly irregular",0,1,0,0
1004,"Slightly irregular",0,1,0,0
1005,"Regular",0,0,1,0
1006,"Regular",0,0,1,0
1007,"Irregular",0,0,0,1
1008,"Regular",0,0,1,0
1009,"Slightly irregular",0,1,0,0
1010,"Regular",0,0,1,0
1011,"Regular",0,0,1,0
1012,"Regular",0,0,1,0
1013,"Regular",0,0,1,0
1014,"Regular",0,0,1,0
1015,"Regular",0,0,1,0
1016,"Regular",0,0,1,0
1017,"Regular",0,0,1,0
1018,"Slightly irregular",0,1,0,0
1019,"Slightly irregular",0,1,0,0
1020,"Regular",0,0,1,0
1021,"Regular",0,0,1,0
1022,"Regular",0,0,1,0
1023,"Regular",0,0,1,0
1024,"Regular",0,0,1,0
1025,"Slightly irregular",0,1,0,0
1026,"Regular",0,0,1,0
1027,"Regular",0,0,1,0
1028,"Slightly irregular",0,1,0,0
1029,"Regular",0,0,1,0
1030,"Regular",0,0,1,0
1031,"Regular",0,0,1,0
1032,"Regular",0,0,1,0
1033,"Slightly irregular",0,1,0,0
1034,"Regular",0,0,1,0
1035,"Regular",0,0,1,0
1036,"Slightly irregular",0,1,0,0
1037,"Slightly irregular",0,1,0,0
1038,"Regular",0,0,1,0
1039,"Regular",0,0,1,0
1040,"Regular",0,0,1,0
1041,"Regular",0,0,1,0
1042,"Regular",0,0,1,0
1043,"Slightly irregular",0,1,0,0
1044,"Regular",0,0,1,0
1045,"Regular",0,0,1,0
1046,"Slightly irregular",0,1,0,0
1047,"Slightly irregular",0,1,0,0
1048,"Moderately Irregular",1,0,0,0
1049,"Regular",0,0,1,0
1050,"Regular",0,0,1,0
1051,"Slightly irregular",0,1,0,0
1052,"Slightly irregular",0,1,0,0
1053,"Regular",0,0,1,0
1054,"Regular",0,0,1,0
1055,"Regular",0,0,1,0
1056,"Regular",0,0,1,0
1057,"Slightly irregular",0,1,0,0
1058,"Moderately Irregular",1,0,0,0
1059,"Slightly irregular",0,1,0,0
1060,"Slightly irregular",0,1,0,0
1061,"Regular",0,0,1,0
1062,"Regular",0,0,1,0
1063,"Regular",0,0,1,0
1064,"Regular",0,0,1,0
1065,"Slightly irregular",0,1,0,0
1066,"Regular",0,0,1,0
1067,"Slightly irregular",0,1,0,0
1068,"Regular",0,0,1,0
1069,"Regular",0,0,1,0
1070,"Regular",0,0,1,0
1071,"Regular",0,0,1,0
1072,"Regular",0,0,1,0
1073,"Regular",0,0,1,0
1074,"Slightly irregular",0,1,0,0
1075,"Regular",0,0,1,0
1076,"Regular",0,0,1,0
1077,"Regular",0,0,1,0
1078,"Slightly irregular",0,1,0,0
1079,"Regular",0,0,1,0
1080,"Regular",0,0,1,0
1081,"Regular",0,0,1,0
1082,"Regular",0,0,1,0
1083,"Regular",0,0,1,0
1084,"Regular",0,0,1,0
1085,"Moderately Irregular",1,0,0,0
1086,"Regular",0,0,1,0
1087,"Regular",0,0,1,0
1088,"Regular",0,0,1,0
1089,"Regular",0,0,1,0
1090,"Slightly irregular",0,1,0,0
1091,"Regular",0,0,1,0
1092,"Regular",0,0,1,0
1093,"Regular",0,0,1,0
1094,"Regular",0,0,1,0
1095,"Regular",0,0,1,0
1096,"Slightly irregular",0,1,0,0
1097,"Regular",0,0,1,0
1098,"Regular",0,0,1,0
1099,"Regular",0,0,1,0
1100,"Slightly irregular",0,1,0,0
1101,"Regular",0,0,1,0
1102,"Slightly irregular",0,1,0,0
1103,"Regular",0,0,1,0
1104,"Regular",0,0,1,0
1105,"Regular",0,0,1,0
1106,"Slightly irregular",0,1,0,0
1107,"Slightly irregular",0,1,0,0
1108,"Irregular",0,0,0,1
1109,"Regular",0,0,1,0
1110,"Slightly irregular",0,1,0,0
1111,"Regular",0,0,1,0
1112,"Regular",0,0,1,0
1113,"Slightly irregular",0,1,0,0
1114,"Regular",0,0,1,0
1115,"Regular",0,0,1,0
1116,"Regular",0,0,1,0
1117,"Regular",0,0,1,0
1118,"Slightly irregular",0,1,0,0
1119,"Regular",0,0,1,0
1120,"Regular",0,0,1,0
1121,"Regular",0,0,1,0
1122,"Regular",0,0,1,0
1123,"Slightly irregular",0,1,0,0
1124,"Regular",0,0,1,0
1125,"Slightly irregular",0,1,0,0
1126,"Regular",0,0,1,0
1127,"Regular",0,0,1,0
1128,"Irregular",0,0,0,1
1129,"Slightly irregular",0,1,0,0
1130,"Regular",0,0,1,0
1131,"Regular",0,0,1,0
1132,"Regular",0,0,1,0
1133,"Regular",0,0,1,0
1134,"Slightly irregular",0,1,0,0
1135,"Slightly irregular",0,1,0,0
1136,"Regular",0,0,1,0
1137,"Regular",0,0,1,0
1138,"Regular",0,0,1,0
1139,"Slightly irregular",0,1,0,0
1140,"Slightly irregular",0,1,0,0
1141,"Regular",0,0,1,0
1142,"Slightly irregular",0,1,0,0
1143,"Regular",0,0,1,0
1144,"Regular",0,0,1,0
1145,"Regular",0,0,1,0
1146,"Regular",0,0,1,0
1147,"Regular",0,0,1,0
1148,"Regular",0,0,1,0
1149,"Regular",0,0,1,0
1150,"Regular",0,0,1,0
1151,"Slightly irregular",0,1,0,0
1152,"Regular",0,0,1,0
1153,"Slightly irregular",0,1,0,0
1154,"Regular",0,0,1,0
1155,"Slightly irregular",0,1,0,0
1156,"Slightly irregular",0,1,0,0
1157,"Regular",0,0,1,0
1158,"Slightly irregular",0,1,0,0
1159,"Regular",0,0,1,0
1160,"Regular",0,0,1,0
1161,"Regular",0,0,1,0
1162,"Slightly irregular",0,1,0,0
1163,"Regular",0,0,1,0
1164,"Regular",0,0,1,0
1165,"Slightly irregular",0,1,0,0
1166,"Slightly irregular",0,1,0,0
1167,"Slightly irregular",0,1,0,0
1168,"Slightly irregular",0,1,0,0
1169,"Regular",0,0,1,0
1170,"Slightly irregular",0,1,0,0
1171,"Regular",0,0,1,0
1172,"Regular",0,0,1,0
1173,"Slightly irregular",0,1,0,0
1174,"Slightly irregular",0,1,0,0
1175,"Slightly irregular",0,1,0,0
1176,"Regular",0,0,1,0
1177,"Slightly irregular",0,1,0,0
1178,"Regular",0,0,1,0
1179,"Slightly irregular",0,1,0,0
1180,"Regular",0,0,1,0
1181,"Moderately Irregular",1,0,0,0
1182,"Slightly irregular",0,1,0,0
1183,"Slightly irregular",0,1,0,0
1184,"Regular",0,0,1,0
1185,"Regular",0,0,1,0
1186,"Regular",0,0,1,0
1187,"Slightly irregular",0,1,0,0
1188,"Regular",0,0,1,0
1189,"Slightly irregular",0,1,0,0
1190,"Regular",0,0,1,0
1191,"Regular",0,0,1,0
1192,"Regular",0,0,1,0
1193,"Regular",0,0,1,0
1194,"Regular",0,0,1,0
1195,"Regular",0,0,1,0
1196,"Slightly irregular",0,1,0,0
1197,"Slightly irregular",0,1,0,0
1198,"Slightly irregular",0,1,0,0
1199,"Regular",0,0,1,0
1200,"Regular",0,0,1,0
1201,"Regular",0,0,1,0
1202,"Regular",0,0,1,0
1203,"Regular",0,0,1,0
1204,"Regular",0,0,1,0
1205,"Regular",0,0,1,0
1206,"Slightly irregular",0,1,0,0
1207,"Regular",0,0,1,0
1208,"Regular",0,0,1,0
1209,"Regular",0,0,1,0
1210,"Slightly irregular",0,1,0,0
1211,"Regular",0,0,1,0
1212,"Slightly irregular",0,1,0,0
1213,"Regular",0,0,1,0
1214,"Slightly irregular",0,1,0,0
1215,"Slightly irregular",0,1,0,0
1216,"Slightly irregular",0,1,0,0
1217,"Regular",0,0,1,0
1218,"Regular",0,0,1,0
1219,"Regular",0,0,1,0
1220,"Regular",0,0,1,0
1221,"Slightly irregular",0,1,0,0
1222,"Regular",0,0,1,0
1223,"Regular",0,0,1,0
1224,"Regular",0,0,1,0
1225,"Slightly irregular",0,1,0,0
1226,"Regular",0,0,1,0
1227,"Slightly irregular",0,1,0,0
1228,"Regular",0,0,1,0
1229,"Regular",0,0,1,0
1230,"Regular",0,0,1,0
1231,"Slightly irregular",0,1,0,0
1232,"Regular",0,0,1,0
1233,"Regular",0,0,1,0
1234,"Slightly irregular",0,1,0,0
1235,"Regular",0,0,1,0
1236,"Regular",0,0,1,0
1237,"Regular",0,0,1,0
1238,"Moderately Irregular",1,0,0,0
1239,"Regular",0,0,1,0
1240,"Slightly irregular",0,1,0,0
1241,"Regular",0,0,1,0
1242,"Regular",0,0,1,0
1243,"Regular",0,0,1,0
1244,"Regular",0,0,1,0
1245,"Slightly irregular",0,1,0,0
1246,"Regular",0,0,1,0
1247,"Regular",0,0,1,0
1248,"Slightly irregular",0,1,0,0
1249,"Regular",0,0,1,0
1250,"Regular",0,0,1,0
1251,"Regular",0,0,1,0
1252,"Slightly irregular",0,1,0,0
1253,"Regular",0,0,1,0
1254,"Slightly irregular",0,1,0,0
1255,"Regular",0,0,1,0
1256,"Regular",0,0,1,0
1257,"Slightly irregular",0,1,0,0
1258,"Regular",0,0,1,0
1259,"Slightly irregular",0,1,0,0
1260,"Regular",0,0,1,0
1261,"Irregular",0,0,0,1
1262,"Regular",0,0,1,0
1263,"Regular",0,0,1,0
1264,"Regular",0,0,1,0
1265,"Regular",0,0,1,0
1266,"Regular",0,0,1,0
1267,"Slightly irregular",0,1,0,0
1268,"Slightly irregular",0,1,0,0
1269,"Slightly irregular",0,1,0,0
1270,"Regular",0,0,1,0
1271,"Regular",0,0,1,0
1272,"Slightly irregular",0,1,0,0
1273,"Slightly irregular",0,1,0,0
1274,"Slightly irregular",0,1,0,0
1275,"Regular",0,0,1,0
1276,"Regular",0,0,1,0
1277,"Slightly irregular",0,1,0,0
1278,"Slightly irregular",0,1,0,0
1279,"Regular",0,0,1,0
1280,"Regular",0,0,1,0
1281,"Slightly irregular",0,1,0,0
1282,"Slightly irregular",0,1,0,0
1283,"Slightly irregular",0,1,0,0
1284,"Regular",0,0,1,0
1285,"Regular",0,0,1,0
1286,"Regular",0,0,1,0
1287,"Regular",0,0,1,0
1288,"Slightly irregular",0,1,0,0
1289,"Slightly irregular",0,1,0,0
1290,"Slightly irregular",0,1,0,0
1291,"Slightly irregular",0,1,0,0
1292,"Regular",0,0,1,0
1293,"Regular",0,0,1,0
1294,"Regular",0,0,1,0
1295,"Regular",0,0,1,0
1296,"Regular",0,0,1,0
1297,"Regular",0,0,1,0
1298,"Regular",0,0,1,0
1299,"Irregular",0,0,0,1
1300,"Regular",0,0,1,0
1301,"Slightly irregular",0,1,0,0
1302,"Slightly irregular",0,1,0,0
1303,"Regular",0,0,1,0
1304,"Regular",0,0,1,0
1305,"Regular",0,0,1,0
1306,"Slightly irregular",0,1,0,0
1307,"Slightly irregular",0,1,0,0
1308,"Regular",0,0,1,0
1309,"Regular",0,0,1,0
1310,"Regular",0,0,1,0
1311,"Regular",0,0,1,0
1312,"Regular",0,0,1,0
1313,"Slightly irregular",0,1,0,0
1314,"Slightly irregular",0,1,0,0
1315,"Regular",0,0,1,0
1316,"Regular",0,0,1,0
1317,"Slightly irregular",0,1,0,0
1318,"Regular",0,0,1,0
1319,"Moderately Irregular",1,0,0,0
1320,"Regular",0,0,1,0
1321,"Regular",0,0,1,0
1322,"Slightly irregular",0,1,0,0
1323,"Slightly irregular",0,1,0,0
1324,"Regular",0,0,1,0
1325,"Regular",0,0,1,0
1326,"Regular",0,0,1,0
1327,"Regular",0,0,1,0
1328,"Regular",0,0,1,0
1329,"Regular",0,0,1,0
1330,"Slightly irregular",0,1,0,0
1331,"Regular",0,0,1,0
1332,"Slightly irregular",0,1,0,0
1333,"Regular",0,0,1,0
1334,"Regular",0,0,1,0
1335,"Regular",0,0,1,0
1336,"Regular",0,0,1,0
1337,"Slightly irregular",0,1,0,0
1338,"Slightly irregular",0,1,0,0
1339,"Slightly irregular",0,1,0,0
1340,"Slightly irregular",0,1,0,0
1341,"Regular",0,0,1,0
1342,"Regular",0,0,1,0
1343,"Regular",0,0,1,0
1344,"Regular",0,0,1,0
1345,"Slightly irregular",0,1,0,0
1346,"Regular",0,0,1,0
1347,"Moderately Irregular",1,0,0,0
1348,"Slightly irregular",0,1,0,0
1349,"Irregular",0,0,0,1
1350,"Regular",0,0,1,0
1351,"Regular",0,0,1,0
1352,"Slightly irregular",0,1,0,0
1353,"Regular",0,0,1,0
1354,"Slightly irregular",0,1,0,0
1355,"Slightly irregular",0,1,0,0
1356,"Slightly irregular",0,1,0,0
1357,"Regular",0,0,1,0
1358,"Slightly irregular",0,1,0,0
1359,"Regular",0,0,1,0
1360,"Regular",0,0,1,0
1361,"Regular",0,0,1,0
1362,"Slightly irregular",0,1,0,0
1363,"Slightly irregular",0,1,0,0
1364,"Slightly irregular",0,1,0,0
1365,"Regular",0,0,1,0
1366,"Regular",0,0,1,0
1367,"Slightly irregular",0,1,0,0
1368,"Regular",0,0,1,0
1369,"Regular",0,0,1,0
1370,"Moderately Irregular",1,0,0,0
1371,"Regular",0,0,1,0
1372,"Regular",0,0,1,0
1373,"Regular",0,0,1,0
1374,"Regular",0,0,1,0
1375,"Regular",0,0,1,0
1376,"Slightly irregular",0,1,0,0
1377,"Regular",0,0,1,0
1378,"Regular",0,0,1,0
1379,"Regular",0,0,1,0
1380,"Regular",0,0,1,0
1381,"Regular",0,0,1,0
1382,"Slightly irregular",0,1,0,0
1383,"Regular",0,0,1,0
1384,"Regular",0,0,1,0
1385,"Regular",0,0,1,0
1386,"Regular",0,0,1,0
1387,"Slightly irregular",0,1,0,0
1388,"Regular",0,0,1,0
1389,"Slightly irregular",0,1,0,0
1390,"Regular",0,0,1,0
1391,"Regular",0,0,1,0
1392,"Regular",0,0,1,0
1393,"Regular",0,0,1,0
1394,"Regular",0,0,1,0
1395,"Regular",0,0,1,0
1396,"Slightly irregular",0,1,0,0
1397,"Slightly irregular",0,1,0,0
1398,"Regular",0,0,1,0
1399,"Regular",0,0,1,0
1400,"Regular",0,0,1,0
1401,"Regular",0,0,1,0
1402,"Slightly irregular",0,1,0,0
1403,"Regular",0,0,1,0
1404,"Slightly irregular",0,1,0,0
1405,"Regular",0,0,1,0
1406,"Slightly irregular",0,1,0,0
1407,"Regular",0,0,1,0
1408,"Slightly irregular",0,1,0,0
1409,"Regular",0,0,1,0
1410,"Slightly irregular",0,1,0,0
1411,"Regular",0,0,1,0
1412,"Regular",0,0,1,0
1413,"Regular",0,0,1,0
1414,"Slightly irregular",0,1,0,0
1415,"Regular",0,0,1,0
1416,"Regular",0,0,1,0
1417,"Regular",0,0,1,0
1418,"Slightly irregular",0,1,0,0
1419,"Regular",0,0,1,0
1420,"Slightly irregular",0,1,0,0
1421,"Regular",0,0,1,0
1422,"Regular",0,0,1,0
1423,"Regular",0,0,1,0
1424,"Slightly irregular",0,1,0,0
1425,"Regular",0,0,1,0
1426,"Slightly irregular",0,1,0,0
1427,"Slightly irregular",0,1,0,0
1428,"Regular",0,0,1,0
1429,"Regular",0,0,1,0
1430,"Slightly irregular",0,1,0,0
1431,"Irregular",0,0,0,1
1432,"Slightly irregular",0,1,0,0
1433,"Regular",0,0,1,0
1434,"Slightly irregular",0,1,0,0
1435,"Regular",0,0,1,0
1436,"Regular",0,0,1,0
1437,"Regular",0,0,1,0
1438,"Regular",0,0,1,0
1439,"Regular",0,0,1,0
1440,"Regular",0,0,1,0
1441,"Slightly irregular",0,1,0,0
1442,"Regular",0,0,1,0
1443,"Regular",0,0,1,0
1444,"Regular",0,0,1,0
1445,"Regular",0,0,1,0
1446,"Regular",0,0,1,0
1447,"Slightly irregular",0,1,0,0
1448,"Regular",0,0,1,0
1449,"Regular",0,0,1,0
1450,"Regular",0,0,1,0
1451,"Regular",0,0,1,0
1452,"Regular",0,0,1,0
1453,"Regular",0,0,1,0
1454,"Regular",0,0,1,0
1455,"Regular",0,0,1,0
1456,"Regular",0,0,1,0
1457,"Regular",0,0,1,0
1458,"Regular",0,0,1,0
1459,"Regular",0,0,1,0
1460,"Regular",0,0,1,0
